"","Date","Forecast"
"1",2014-01-01,352.017365691859
"2",2014-01-02,352.034731383717
"3",2014-01-03,352.052097075576
"4",2014-01-04,352.069462767435
"5",2014-01-05,352.086828459294
"6",2014-01-06,352.104194151152
"7",2014-01-07,352.121559843011
"8",2014-01-08,352.13892553487
"9",2014-01-09,352.156291226728
"10",2014-01-10,352.173656918587
"11",2014-01-11,352.191022610446
"12",2014-01-12,352.208388302305
"13",2014-01-13,352.225753994163
"14",2014-01-14,352.243119686022
"15",2014-01-15,352.260485377881
"16",2014-01-16,352.277851069739
"17",2014-01-17,352.295216761598
"18",2014-01-18,352.312582453457
"19",2014-01-19,352.329948145315
"20",2014-01-20,352.347313837174
"21",2014-01-21,352.364679529033
"22",2014-01-22,352.382045220892
"23",2014-01-23,352.39941091275
"24",2014-01-24,352.416776604609
"25",2014-01-25,352.434142296468
"26",2014-01-26,352.451507988326
"27",2014-01-27,352.468873680185
"28",2014-01-28,352.486239372044
"29",2014-01-29,352.503605063903
"30",2014-01-30,352.520970755761
"31",2014-01-31,352.53833644762
"32",2014-02-01,352.555702139479
"33",2014-02-02,352.573067831337
"34",2014-02-03,352.590433523196
"35",2014-02-04,352.607799215055
"36",2014-02-05,352.625164906914
"37",2014-02-06,352.642530598772
"38",2014-02-07,352.659896290631
"39",2014-02-08,352.67726198249
"40",2014-02-09,352.694627674348
"41",2014-02-10,352.711993366207
"42",2014-02-11,352.729359058066
"43",2014-02-12,352.746724749925
"44",2014-02-13,352.764090441783
"45",2014-02-14,352.781456133642
"46",2014-02-15,352.798821825501
"47",2014-02-16,352.816187517359
"48",2014-02-17,352.833553209218
"49",2014-02-18,352.850918901077
"50",2014-02-19,352.868284592935
"51",2014-02-20,352.885650284794
"52",2014-02-21,352.903015976653
"53",2014-02-22,352.920381668512
"54",2014-02-23,352.93774736037
"55",2014-02-24,352.955113052229
"56",2014-02-25,352.972478744088
"57",2014-02-26,352.989844435946
"58",2014-02-27,353.007210127805
"59",2014-02-28,353.024575819664
"60",2014-03-01,353.041941511523
"61",2014-03-02,353.059307203381
"62",2014-03-03,353.07667289524
"63",2014-03-04,353.094038587099
"64",2014-03-05,353.111404278957
"65",2014-03-06,353.128769970816
"66",2014-03-07,353.146135662675
"67",2014-03-08,353.163501354534
"68",2014-03-09,353.180867046392
"69",2014-03-10,353.198232738251
"70",2014-03-11,353.21559843011
"71",2014-03-12,353.232964121968
"72",2014-03-13,353.250329813827
"73",2014-03-14,353.267695505686
"74",2014-03-15,353.285061197545
"75",2014-03-16,353.302426889403
"76",2014-03-17,353.319792581262
"77",2014-03-18,353.337158273121
"78",2014-03-19,353.354523964979
"79",2014-03-20,353.371889656838
"80",2014-03-21,353.389255348697
"81",2014-03-22,353.406621040555
"82",2014-03-23,353.423986732414
"83",2014-03-24,353.441352424273
"84",2014-03-25,353.458718116132
"85",2014-03-26,353.47608380799
"86",2014-03-27,353.493449499849
"87",2014-03-28,353.510815191708
"88",2014-03-29,353.528180883566
"89",2014-03-30,353.545546575425
"90",2014-03-31,353.562912267284
